PESEL,Imie,Nazwisko,Plec,Data_urodzenia,Data_uzyskania_prawa_jazdy
100000000075,Michael,Lamb,Kobieta,1953-11-21,11/03/1989
100000000076,Adam,Reynolds,Kobieta,2002-09-29,29/07/2023
100000000077,Catherine,Burke,Mezczyzna,1963-10-02,06/10/1994
100000000078,Stacy,Moran,Mezczyzna,1976-11-18,14/05/2006
100000000079,Mark,Gray,Mezczyzna,1966-11-28,10/04/1999
100000000080,Ashley,Berry,Kobieta,1937-06-29,27/08/2000
100000000081,Donna,Evans,Kobieta,1968-09-30,08/06/2015
100000000082,Carla,Reese,Kobieta,1941-08-03,11/11/1977
100000000083,David,Wells,Kobieta,1946-05-20,08/07/2023
100000000084,Trevor,Barnett,Mezczyzna,1965-06-29,28/01/2016
100000000085,Zachary,Edwards,Mezczyzna,1977-02-22,10/06/1997
100000000086,Derek,Avila,Kobieta,1950-02-01,11/03/1991
100000000087,Laura,Simmons,Kobieta,1958-08-06,08/10/2014
100000000088,Kimberly,Williams,Mezczyzna,1999-05-19,01/02/2023
100000000089,Jamie,Nielsen,Kobieta,1941-12-05,26/03/1966
100000000090,Valerie,Davis,Mezczyzna,2002-03-12,03/07/2023
100000000091,Sean,Atkinson,Kobieta,1970-04-10,01/04/2002
100000000092,Jose,Hunt,Mezczyzna,1959-11-25,03/11/1998
100000000093,Kathryn,Hudson,Kobieta,1971-03-31,12/04/2023
100000000094,Justin,Martinez,Mezczyzna,2003-05-22,21/08/2021
100000000095,Andrea,Watkins,Kobieta,1994-03-06,24/12/2017
100000000096,Joshua,Perez,Mezczyzna,1954-08-20,25/09/2022
100000000097,Patricia,Mckinney,Mezczyzna,1938-06-06,21/09/2019
100000000098,Lori,Gray,Mezczyzna,2003-03-11,11/06/2022
100000000099,Dawn,Orozco,Mezczyzna,1990-08-28,27/09/2011
